"IDR33,451,231",,Howard,Michael,Wong,amet@amet.org,libero@inhendreritconsectetuer.edu,0800 1111,8631953A-D45E-3C93-45F7-D4E30FCE462B,,1961-02-28,Female,Ap #795-5679 Mauris St.,"P.O. Box 492, 8515 Donec Ave",French Guiana,2014-10-24,,PhD,Full time,Computer Science,Withdrawn,UniL Scholarship,EU
"ZAR54,961,771",Mr.,Warren,Pearson,Moreno,Aliquam.rutrum.lorem@ametdapibusid.co.uk,Mauris@Proinvel.co.uk,(01891) 967234,712DA6BC-A206-69DE-652D-665CABE4C708,,1962-08-12,Female,Ap #405-6317 Sed Avenue,422-6828 Iaculis Av.,British Indian Ocean Territory,2014-01-06,,PhD,Full time,Computer Science,Applied,Government sponsored,International
AAR35509738,Mrs.,Harding,Estrada,Carver,Cum.sociis@ornarelectusante.ca,Donec.feugiat@convallisante.com,0800 751534,B76627A9-4B8E-C892-7393-D2F923BF8E5B,,1922-09-24,,"P.O. Box 756, 4082 Ipsum. Rd.",8786 Nunc Rd.,French Guiana,2014-01-23,,MPhil,Full time,Computer Science,Withdrawn,Self funding,Foreign
AAU12295657,Mrs.,Ivy,Wolfe,Mills,felis@semut.co.uk,luctus.aliquet@montesnascetur.org,0800 1111,50908E99-919F-EFDD-A91F-63FC5049FADE,,1922-08-23,Female,Ap #976-3498 Adipiscing Rd.,485-7840 Dictum St.,Portugal,2016-02-23,,MPhil,Full time,Computer Science,Withdrawn,Government sponsored,UK
ABB65233726,,Stacey,Bonner,Hicks,sem.semper.erat@felisadipiscingfringilla.ca,sed@Utnec.ca,055 5786 7170,C078B866-061D-F321-58E5-E1EEE63CB099,,1942-05-20,Female,Ap #467-9627 Eros Road,Ap #878-5736 Consequat Road,Burkina Faso,2015-01-21,,PhD,Full time,Computer Science,Graduated,Government sponsored,UK
ACC05687842,Mr.,Fatima,Rogers,Burnett,nonummy@euismodac.com,amet.consectetuer.adipiscing@temporlorem.co.uk,07316 598245,A1605BA4-BF78-0C15-2995-CA01FBB73516,,1973-11-08,Male,"P.O. Box 934, 5817 Mus. St.",681-3751 Nunc St.,United Kingdom (Great Britain),2014-07-15,,PhD,Full time,Computer Science,Withdrawn,Government sponsored,EU
ADV97339150,Mr.,Clayton,Mcmillan,Shaffer,sed.dui.Fusce@tempusscelerisque.co.uk,mollis.dui@et.net,(01734) 13836,7E9FA4FF-033D-7B17-404C-F02E7949EF03,,1983-01-01,,"P.O. Box 553, 2629 Sit St.",440-2188 Cras Rd.,Namibia,2015-05-18,,MPhil,Full time,Computer Science,Applied,Government sponsored,EU
AFE12906452,,Clark,Cunningham,Duke,a.dui.Cras@montes.ca,dignissim.magna.a@dictum.ca,0349 257 6577,5CA8FDE3-E832-4EBD-28CA-F01C6416BBAF,,1961-07-26,,Ap #139-9763 Phasellus Rd.,2635 Fames Avenue,Slovakia,2016-02-01,,PhD,Full time,Computer Science,Enrolled,Self funding,International
AHF63754181,,Adele,Wood,Henry,pharetra.felis.eget@placerateget.co.uk,vitae.posuere@magnaPhasellus.net,07624 866249,17B31C63-3CCD-5EFD-3339-8CD650959319,,1974-12-26,Female,8590 Pede. Road,4396 Suscipit Rd.,Mauritania,2014-01-25,,MSc,Full time,Computer Science,Applied,UniL Scholarship,EU
AIE77446021,Ms.,Elmo,Burnett,Guy,eu.nulla@egetmetuseu.co.uk,lacus.pede.sagittis@ligulaelit.co.uk,0356 736 6571,A13BAC69-0CD8-A3AC-A22D-6432F6F9AAC3,,1986-10-18,,5481 Sem. St.,"P.O. Box 505, 3547 Accumsan Road",Cayman Islands,2014-10-26,,MSc,Part time,Computer Science,Enrolled,UniL Scholarship,International
AIK11685993,Dr.,Kay,Levy,Valencia,bibendum.fermentum@pedeNuncsed.co.uk,sed@sitamet.ca,070 3879 2197,5C94FD1F-4D28-AB7A-D439-431D103B7FE3,,1946-07-15,,2146 Phasellus Street,Ap #601-5260 Velit Rd.,Rwanda,2015-10-11,,PhD,Full time,Computer Science,Enrolled,UniL Scholarship,International
AJT95381450,,Gwendolyn,Andrews,Hebert,cursus.in@Sedmolestie.org,arcu@vestibulumlorem.ca,0800 384247,A73320BF-5B39-A8C8-FDC7-3FD4C55BB991,,1968-04-02,Other,Ap #262-2868 Sed Av.,"P.O. Box 123, 4425 Lacus. Road",Afghanistan,2013-03-10,,MPhil,Full time,Computer Science,Enrolled,Government sponsored,International
AKL22598724,,Hannah,Mcpherson,Conley,gravida@Fusce.ca,interdum@sapien.com,0800 495 4658,D219EAE7-558D-A2D0-7C55-8A09E783A021,,1927-05-23,Other,"313-1412 Ut, Av.",616-9310 Dui Street,China,2014-05-09,,MPhil,Full time,Computer Science,Graduated,Industry funding,EU
AKL22598724,,Melyssa,Stark,Hines,amet@duiFusce.net,tellus.faucibus.leo@euerosNam.edu,0800 415748,8134ADC0-71D4-DC78-248F-6E1C7BF67E36,,1957-01-21,,"469-2364 Et, Road",Ap #196-3473 Eleifend. Street,Croatia,2012-12-07,,MSc,Part time,Computer Science,Graduated,Government sponsored,Foreign
AMB93733079,Dr.,Isaac,Hewitt,Long,risus.Nunc.ac@tellussemmollis.org,sed.pede@quisarcuvel.org,0500 562190,D6CAC46D-B49E-A4BD-837C-C7703C4037A9,,1975-11-24,,7249 Nulla Rd.,Ap #130-5189 Sem. Ave,Gibraltar,2013-08-15,,MSc,Full time,Computer Science,Enrolled,Industry funding,UK
AMI34299395,,Berk,Oliver,Ward,nascetur.ridiculus@mollis.edu,tristique@enimCurabiturmassa.org,0323 248 1349,A7186680-F4DF-BB8E-A23F-10643987FD4F,,1946-09-04,,9001 Ultrices. St.,"7851 Elit, St.",Martinique,2014-10-07,,MSc,Full time,Computer Science,Graduated,UniL Scholarship,Foreign
ANC32642177,,Yoshi,Spence,Estrada,congue@Duismienim.ca,velit@feugiatSednec.co.uk,(0161) 527 4239,BA986B1E-7E8E-20E1-49F8-868077D0BA55,,1931-11-20,,"P.O. Box 462, 3209 Ac Av.","P.O. Box 268, 5760 Eu St.",Guatemala,2014-10-25,,MSc,Full time,Computer Science,Applied,,EU
ANQ08373583,,Evangeline,Le,Petty,ipsum@at.com,sociis.natoque.penatibus@Fusce.edu,0359 505 1340,DB50A324-7C98-3EAB-3882-9E555FF8B5F6,,1987-02-13,,Ap #463-3668 Erat Ave,194-478 Etiam Ave,Zimbabwe,2012-05-13,,MPhil,Full time,Computer Science,Withdrawn,Government sponsored,EU
AST44826401,,Madeline,Jennings,Barnes,luctus.Curabitur.egestas@consectetuer.com,primis.in.faucibus@imperdiet.ca,(0181) 403 2137,F2232BE7-87BE-04B4-B5E7-34A178080658,,1947-05-23,,445-3728 Aenean Road,Ap #344-8052 Aliquam St.,Zimbabwe,2012-06-10,,PhD,Part time,Computer Science,Withdrawn,Government sponsored,EU
ATO98946491,,TaShya,Logan,Steele,in@Nulla.edu,lacus.varius@diamPellentesquehabitant.ca,07779 334330,30B9CD43-57BE-AB93-A6CA-813FEF390C7A,,1921-08-12,Female,"P.O. Box 204, 2626 Et Road","P.O. Box 645, 7360 Mattis. Rd.",Micronesia,2014-04-05,,PhD,Full time,Computer Science,Withdrawn,Government sponsored,UK
AVQ43346613,,Hadley,Salas,Pope,convallis.erat@magna.edu,ut@In.com,07624 796196,F39FA526-9D28-0B54-9436-481EF16C20F5,,1987-12-27,Male,7399 Pellentesque Rd.,Ap #435-8307 Velit Road,Suriname,2012-07-23,,MPhil,Full time,Computer Science,Graduated,Self funding,UK
AWQ15417741,,Owen,Vincent,Hewitt,penatibus@inconsectetuer.net,elit.elit@elita.com,070 2792 0414,FD008593-172E-76F5-A921-546EAA4C6656,,1958-10-15,Other,5105 Ut St.,Ap #327-1641 Sed Ave,Puerto Rico,2013-10-27,,PhD,Full time,Computer Science,Withdrawn,Self funding,International
AXZ04454068,,Quinn,Sanders,Fischer,blandit@nequeSedeget.edu,et@Proinegetodio.edu,0800 786208,ACC9D9DC-6E31-5BCD-0A75-4D57D6DDA0AA,,1925-11-15,Male,Ap #449-2662 Phasellus Rd.,6886 Rutrum. Road,Comoros,2013-03-14,,MPhil,Full time,Computer Science,Graduated,Project funded,UK
AYI79856656,,Rafael,Byers,Henderson,metus.In.lorem@nequevitae.net,sit.amet@diam.edu,(01660) 26872,C159E53A-EF8E-6C0F-5F49-D78ABEB92A74,,1937-08-25,,Ap #219-8423 Mi Avenue,"P.O. Box 203, 1961 Pharetra Ave",Mozambique,2014-05-16,,MPhil,Part time,Computer Science,Graduated,UniL Scholarship,EU
AZO25523813,Dr.,Destiny,Harrison,Gillespie,elit.fermentum.risus@Quisque.edu,parturient.montes.nascetur@risus.org,070 7063 3716,AD900280-7D0E-5978-041D-1F98B7FA375F,,1952-12-23,,"P.O. Box 657, 9511 Donec St.",419 Vitae St.,Ireland,2015-09-09,,MPhil,Part time,Computer Science,Withdrawn,Project funded,Foreign
BAZ34317639,,Vladimir,Sherman,Duncan,mus.Proin@Sedmalesuada.net,quam.elementum.at@mollisDuissit.com,0500 112539,091BF49E-ECE1-99E1-F395-E01DE2BD59B9,,1948-02-22,Female,1053 Mauris Rd.,Ap #845-7788 Nec Rd.,Syria,2014-05-17,,MSc,Full time,Computer Science,Applied,Government sponsored,International
BBX68229477,,Harding,Kidd,Key,Quisque.purus@Aliquam.net,quis@massalobortisultrices.ca,0800 676 2554,42CDE384-8B3B-10C4-843C-32E784E38FD7,,1988-10-06,Male,913-3999 Ligula. Rd.,6634 Cras Rd.,Seychelles,2016-05-19,,PhD,Part time,Computer Science,Withdrawn,Industry funding,EU
BEH65204437,,Kay,Mejia,Carpenter,Nam.nulla@sed.ca,enim.Suspendisse.aliquet@mollisvitaeposuere.edu,0800 958012,FECDB7BC-E68C-71B1-F468-F0A2BADA39E0,,1949-05-30,Male,791-1924 Nec St.,Ap #609-5421 Neque Av.,Burkina Faso,2012-08-23,,MPhil,Part time,Computer Science,Applied,Industry funding,UK
BEK23859832,,Dorothy,Hale,Buckner,Ut.tincidunt@Aenean.edu,imperdiet.dictum.magna@elementumlorem.com,076 5457 1525,1F03EC4C-8082-0578-EC95-3D220DFE615E,,1939-11-05,Other,"P.O. Box 720, 3666 Eu, St.",Ap #999-4510 Porttitor Ave,Brunei,2013-07-23,,MSc,Full time,Computer Science,Applied,UniL Scholarship,International
BEO92145111,,Hadassah,Coleman,Solomon,fringilla.cursus.purus@Etiam.ca,Lorem.ipsum.dolor@euismod.co.uk,0308 920 1455,8BF32B0C-1F9F-61DE-F4C6-88974E9C8BAB,,1969-12-15,Other,836-9494 Malesuada St.,595-9105 Et Street,Martinique,2014-12-17,,PhD,Full time,Computer Science,Graduated,Government sponsored,UK
BEX04013439,Mrs.,Thor,George,Olsen,vel.pede.blandit@penatibuset.com,eget.laoreet@ipsum.org,0845 46 47,4A9B0267-5156-AA09-DBAF-A4572C476368,,1935-11-03,,"P.O. Box 232, 4572 Diam Street",968-8456 Vulputate Av.,Iceland,2012-06-09,,PhD,Full time,Computer Science,Applied,Government sponsored,EU
BFQ98955501,,Daphne,Lamb,Garza,facilisi@vehicula.co.uk,et@egetlaoreet.net,(016977) 4383,C416B33B-BA1B-A1C2-6267-45B2B79CBB7D,,1980-10-25,Female,"P.O. Box 184, 8220 Rutrum Street",5672 Neque. St.,Micronesia,2012-11-15,,MPhil,Full time,Computer Science,Applied,Project funded,UK
BGJ72261263,,Teegan,Sargent,Mack,molestie@Nam.edu,cubilia.Curae@Curabitur.co.uk,0500 141879,5F29B213-2AFA-049B-2CF7-37E2C37A170F,,1924-06-13,Other,"P.O. Box 171, 8030 Neque Av.",8032 Accumsan Road,Peru,2014-06-22,,MSc,Full time,Computer Science,Graduated,UniL Scholarship,EU
BII26528240,Mrs.,Tanek,Elliott,Woodard,Cras@massa.edu,litora.torquent.per@mauris.com,(017824) 48911,0186F8AD-C911-77F6-2DE0-0F31D4902DD9,,1922-02-11,,328-1729 Massa. Rd.,"5158 Sapien, Rd.",Singapore,2012-08-03,,MSc,Full time,Computer Science,Graduated,Self funding,EU
BIX97033854,Dr.,Gil,Hensley,Olson,risus@parturient.com,id.enim@felisorci.org,056 1777 8062,E0204CEE-412B-7C0D-62C5-2792FA4E9D85,,1957-10-05,Other,9239 Risus. Avenue,2739 Adipiscing Av.,Zimbabwe,2013-01-09,,MPhil,Part time,Computer Science,Enrolled,Project funded,Foreign
BJB20357337,Mr.,Rooney,Townsend,Adams,mi@justoPraesentluctus.org,per.conubia.nostra@eget.net,(01555) 95991,9880738B-F4B7-9AAE-59EE-9B98981C7602,,1979-11-22,,Ap #140-4855 Cras Avenue,"P.O. Box 273, 238 Per Avenue",French Polynesia,2012-08-05,,MSc,Full time,Computer Science,Applied,UniL Scholarship,EU
BJI97395558,Mrs.,Martin,Walters,Hunt,sed@egestashendreritneque.org,egestas.Fusce.aliquet@Sedeueros.net,0305 430 3986,5EDB2285-D85C-2F2D-B276-8420C59CB1D7,,1927-05-25,Other,"P.O. Box 925, 7239 Duis Street","6256 Purus, Street",Malta,2013-11-08,,PhD,Full time,Computer Science,Graduated,Industry funding,UK
